Modelo,MAE_Média,MAE_DesvioPadrão,RMSE_Média,R2_Média
LightGBM,3.4819322270176594,0.035795563639883655,4.438212178899737,0.7758380296306416
CatBoost,3.4914875603655418,0.035007420047188174,4.454993883504913,0.7741416296395164
RandomForest,3.581849953782735,0.031707649533238465,4.607357420931557,0.7584287756724424
Linear (Ridge),5.0255451375078755,0.030941003699270064,6.382586477532561,0.5364087057338142
Linear (ElasticNet),6.196829508522948,0.04918093462410303,7.754129994767709,0.315872569937531
Linear (Lasso),6.284361854053391,0.04829442812300386,7.853696455383721,0.29819048504720175
Baseline (Média),7.586391453801052,0.05550641341461476,9.376257811936174,-0.00029879798336667206
